Job title,Company name,Location,posted,Experience,Career Level,Education Level,Salary,Job Categories,Skills and Tools,Job link,Company Link
Junior Technical Support Engineer - Cairo,MTI,"New Cairo, Cairo, Egypt ",Posted 2 months ago,1 to 2 years,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,"Confidential, Over Time",IT/Software Development | Engineering - Telecom/Technology,Technical Support | Help desk | Information technology | MCSA | Technology | Computer Science | Customer Support | Information Technology (IT),https://wuzzuf.net/jobs/p/mjVMNtTDZXcE-Junior-Technical-Support-Engineer---Cairo-MTI-Cairo-Egypt?o=2207&l=sp&t=sj&a=software|search-v3|hpb|spbg,https://wuzzuf.net/jobs/careers/MTI-Egypt-75046
Marketing and Social Media Specialist,A-Squared,"New Cairo, Cairo, Egypt ",Posted 1 month ago,2 to 3 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,Marketing/PR/Advertising | Media/Journalism/Publishing,E-Marketing | media | Marketing | Social Media | Content Management | Digital Marketing,https://wuzzuf.net/jobs/p/KtYswIP2e8Jd-Marketing-and-Social-Media-Specialist-A-Squared-Cairo-Egypt?o=2208&l=sp&t=sj&a=software|search-v3|hpb|spbg,https://wuzzuf.net/jobs/careers/A-Squared-Egypt-52558
Accountant,LC Waikiki,"Maadi, Cairo, Egypt ",Posted 1 month ago,2 to 4 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,Accounting/Finance,Retail | Tax | Accounting | Finance | Financial Management | Financial Analysis | Bookkeeping | FMCG | POS | ERB | ERP | English | Microsoft Office | Computer Skills,https://wuzzuf.net/jobs/p/CY0Ayzb5tWoi-Accountant-LC-Waikiki-Cairo-Egypt?o=2209&l=sp&t=sj&a=software|search-v3|hpb|spbg,https://wuzzuf.net/jobs/careers/LC-Waikiki-Egypt-24607
Sales Engineer,trim academy,"Cairo, Egypt ",Posted 1 month ago,More than 2 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,Sales/Retail | Engineering - Mechanical/Electrical,Sales | Engineering | 3D Printing | Sales Target | Sales Skills | Arabic | Mechanical,https://wuzzuf.net/jobs/p/FnS2LLNloV3l-Sales-Engineer-trim-academy-Cairo-Egypt?o=2210&l=sp&t=sj&a=software|search-v3|hpb|spbg,https://wuzzuf.net/jobs/careers/trim academy-Egypt-79858
IT Specialist,Drakestore,"Giza, Egypt ",Posted 1 month ago,3 to 5 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,IT/Software Development | Engineering - Telecom/Technology,Computer Science | Information Technology (IT) | Installation | Technical Support | Retail,https://wuzzuf.net/jobs/p/k9MJdVb5MyTa-IT-Specialist-Drakestore-Giza-Egypt?o=2211&l=sp&t=sj&a=software|search-v3|hpb|spbg,https://wuzzuf.net/jobs/careers/Drakestore-Egypt-30053
Marketing Researcher,Premier Services and Recruitment,"Cairo, Egypt ",Posted 1 month ago,0 to 1 year,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,5700 to 6000 EGP Per Month,Marketing/PR/Advertising,Market Research | E-Marketing | Marketing Research | Marketing | Researcher | Social Media,https://wuzzuf.net/jobs/p/fEKLyETliBHt-Marketing-Researcher-Premier-Services-and-Recruitment-Cairo-Egypt?o=2212&l=sp&t=sj&a=software|search-v3|hpb|spbg,https://wuzzuf.net/jobs/careers/Premier-Services-and-Recruitment-Egypt-9418
Odoo Functional Consultant.,Confidential Company,"Cairo, Egypt ",Posted 1 month ago,2 to 5 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,IT/Software Development | Engineering - Telecom/Technology,Accounting | business | Computer Science | English | ERP | Finance | HR | Information Technology (IT) | IT | Odoo | Odoo ERP | Purchasing,https://wuzzuf.net/jobs/p/KwzLeSh6AYxz-Odoo-Functional-Consultant-Cairo-Egypt?o=2213&l=sp&t=sj&a=software|search-v3|hpb|spbg,Confidential Company
Odoo Functional Consultant,Confidential Company,"Alexandria, Egypt ",Posted 1 month ago,2 to 5 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,IT/Software Development | Engineering - Telecom/Technology,Information Technology (IT) | business | Computer Science | English | IT | ERP | Odoo | Odoo ERP | Purchasing | Accounting | Finance | HR,https://wuzzuf.net/jobs/p/17Tvwpx0j8Tr-Odoo-Functional-Consultant-Alexandria-Egypt?o=2214&l=sp&t=sj&a=software|search-v3|hpb|spbg,Confidential Company
Senior Pre Sales Security Engineer,Confidential Company,"Cairo, Egypt ",Posted 1 month ago,More than 5 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,IT/Software Development | Engineering - Telecom/Technology,CCTV | Security | Low Current | Information Technology (IT) | IP | Sales | Sales Skills | Sales Target | Telecom Engineering,https://wuzzuf.net/jobs/p/crOCHvtxQrbD-Senior-Pre-Sales-Security-Engineer-Cairo-Egypt?o=2215&l=sp&t=sj&a=software|search-v3|hpb|spbg,Confidential Company
Technical Support - Level 2 - Remotly,Flojics,"Cairo, Egypt ",Posted 1 month ago,2 to 10 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,IT/Software Development | Analyst/Research | Engineering - Telecom/Technology,Information Technology (IT) | Technical Support | Maintenance | Computer Science | Engineering | Customer Support | ITIL | Network Operations Center | Networking | Vmware | Microsoft | DNS | Customer Service | Customer Care | Cloud | Network | troubleshoot,https://wuzzuf.net/jobs/p/Ex4X1eLWQIEF-Technical-Support---Level-2---Remotly-Flojics-Cairo-Egypt?o=2216&l=sp&t=sj&a=software|search-v3|hpb|spbg,https://wuzzuf.net/jobs/careers/Flowgica-Egypt-11595
